x_m,y_m,s_m,track_width_m
7.59916,9.37891,12.33843,0.4500
7.59924,9.35891,12.35842,0.4500
7.59932,9.33891,12.37842,0.4500
7.59940,9.31892,12.39842,0.4500
7.59948,9.29892,12.41842,0.4500
7.59956,9.27892,12.43841,0.4500
7.59964,9.25892,12.45841,0.4500
7.59972,9.23893,12.47841,0.4500
7.59980,9.21893,12.49841,0.4500
7.59988,9.19893,12.51841,0.4500
7.59996,9.17893,12.53840,0.4500
7.60005,9.15894,12.55840,0.4500
7.60017,9.13894,12.57840,0.4500
7.60029,9.11894,12.59840,0.4500
7.60038,9.09894,12.61840,0.4500
7.60046,9.07894,12.63839,0.4500
7.60054,9.05895,12.65839,0.4500
7.60062,9.03895,12.67839,0.4500
7.60069,9.01895,12.69839,0.4500
7.60077,8.99895,12.71838,0.4500
7.60085,8.97896,12.73838,0.4500
7.60093,8.95896,12.75838,0.4500
7.60101,8.93896,12.77838,0.4500
7.60109,8.91896,12.79838,0.4500
7.60117,8.89897,12.81837,0.4500
7.60125,8.87897,12.83837,0.4500
7.60135,8.85897,12.85837,0.4500
7.60147,8.83897,12.87837,0.4500
7.60159,8.81898,12.89836,0.4500
7.60167,8.79898,12.91836,0.4500
7.60175,8.77898,12.93836,0.4500
7.60183,8.75898,12.95836,0.4500
7.60191,8.73899,12.97836,0.4500
7.60199,8.71899,12.99835,0.4500
7.60207,8.69899,13.01835,0.4500
7.60215,8.67899,13.03835,0.4500
7.60223,8.65899,13.05835,0.4500
7.60231,8.63900,13.07834,0.4500
7.60239,8.61900,13.09834,0.4500
7.60247,8.59900,13.11834,0.4500
7.60255,8.57900,13.13834,0.4500
7.60267,8.55901,13.15834,0.4500
7.60283,8.53901,13.17833,0.4500
7.60299,8.51901,13.19833,0.4500
7.60423,8.49906,13.21833,0.4500
7.60555,8.47910,13.23833,0.4500
7.60798,8.45929,13.25828,0.4500
7.61186,8.43967,13.27828,0.4500
7.61573,8.42006,13.29828,0.4500
7.61973,8.40046,13.31828,0.4500
7.62374,8.38087,13.33827,0.4500
